assists,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,True,True,None,None,0,0,588796,None,,0,0,0,0,0.0,664,291,None,,0,3,0.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Ismeal,0.0,619,258,0,0,0,0.0,669,290,659,False,0.0,670,291,0,,None,45,459,288,0,0,None,0,,588796.jpg,0.0,674,293,0,152,False,0,0,Kabia,0.0,632,269,False,None,0,0,a,1,3,2024-09-14,0.0,649,286,0,2361,92,1802,74,0.0,0.0,Kabia,0
0,0,0,True,True,None,None,0,0,499167,None,,0,0,0,0,0.0,518,192,None,,0,2,0.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Josh,0.0,455,170,0,0,0,0.0,538,195,662,False,0.0,539,195,0,,None,40,650,188,0,0,None,0,,499167.jpg,0.0,545,195,0,241,False,0,0,Nichols,0.0,546,194,False,None,0,0,a,1,3,2024-07-24,0.0,484,180,0,3855,144,2872,163,0.0,0.0,Nichols,0
0,0,0,True,True,None,None,0,0,461025,None,,0,0,0,0,0.0,613,52,None,,0,4,0.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Nathan,0.0,562,46,0,0,0,0.0,618,52,665,False,0.0,619,52,0,,None,45,391,65,0,0,None,0,,461025.jpg,0.0,625,55,0,241,False,0,0,Butler-Oyedeji,0.2,350,57,False,None,0,0,a,1,3,2024-09-18,0.0,595,52,0,48823,1804,33501,1850,0.0,0.0,Butler-Oyedeji,0
2,2,145,True,True,100,100,1,0.1,215711,3,,0,0,-3,3,195.3,119,83,4,,0,3,3.0,3.0,9,2.70,0.27,3.96,0.39,1.26,10.24,1.01,0.12,Leon,3.0,109,50,15,1.48,1,54.9,150,89,28,False,125.6,277,122,914,,2024-12-09T09:30:06.119495Z,62,62,38,0,0,None,0,,215711.jpg,2.3,218,94,0,107,False,0,0.0,Bailey,0.8,217,65,False,None,12,1.18,a,2,7,2021-08-04,230.0,77,48,39,155391,5816,431304,4478,0.5,6.3,Bailey,2
1,5,150,True,True,0,100,1,0.17,88894,None,,0,0,-3,3,115.5,196,125,None,,1,3,0.0,3.0,10,0.41,0.07,2.09,0.35,1.68,5.36,0.89,0.28,Ross,3.0,101,44,9,1.49,3,50.3,175,96,29,False,203.4,201,84,544,Calf injury - Expected back 01 Feb,2025-01-11T01:30:08.379812Z,52,155,92,0,0,None,0,,88894.jpg,2.5,190,82,0,241,False,0,0.0,Barkley,0.3,310,96,False,None,3,0.5,i,2,7,2024-07-01,185.0,110,72,40,25879,2612,84270,1627,0.6,7.7,Barkley,3
0,0,0,False,True,0,0,0,0,491287,None,,0,0,-1,1,0.0,688,305,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Enzo,0.0,665,288,0,0,0,0.0,693,306,30,False,0.0,693,306,0,Loaned to Valencia CF,2024-08-31T06:33:47.934620Z,49,277,181,0,0,None,0,,491287.jpg,0.0,694,306,0,None,False,0,0,Barrenechea,0.0,618,262,False,None,0,0,u,2,7,None,0.0,682,303,0,872,0,5253,16,0.0,0.0,Barrenechea,0
0,0,31,True,True,None,None,0,0.0,195546,None,,0,0,-4,4,22.1,353,193,3,,0,3,0.8,0.8,1,0.02,0.03,0.65,0.94,0.63,1.68,2.44,0.91,Emiliano,0.8,299,145,2,2.9,0,5.0,422,201,31,False,16.2,429,198,62,,None,51,176,109,0,0,None,0,,195546.jpg,0.9,472,226,0,10,False,0,0.0,Buendía Stati,0.1,473,174,False,None,0,0.0,a,2,7,2021-06-10,15.0,346,183,9,6336,159,15008,219,0.2,1.8,Buendia,1
0,1,90,True,True,100,100,1,0.09,199796,None,,0,0,-1,1,81.9,238,62,None,,0,2,1.0,1.0,3,0.75,0.07,0.97,0.09,0.22,13.85,1.26,0.02,Matty,1.0,256,85,14,1.28,1,35.5,238,72,32,False,185.4,220,84,988,,2024-12-27T00:30:09.083461Z,44,483,88,0,0,None,0,,199796.jpg,2.0,256,83,0,172,False,0,0.0,Cash,1.2,197,77,False,None,12,1.09,a,2,7,2020-09-03,88.0,198,48,26,159783,5207,355227,5382,0.2,5.9,Cash,5
0,0,0,False,True,0,0,0,0,151589,None,,0,0,0,0,0.0,598,245,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Leander,0.0,546,207,0,0,0,0.0,603,243,33,False,0.0,604,244,0,On loan to Anderlecht for the rest of the season,2024-09-02T10:45:36.198316Z,45,363,228,0,0,None,0,,151589.jpg,0.0,610,247,0,None,False,0,0,Dendoncker,0.2,349,114,False,None,0,0,u,2,7,None,0.0,580,239,0,18187,0,91742,374,0.0,0.0,Dendoncker,0
0,0,0,False,True,0,0,0,0,243557,None,,0,0,0,0,0.0,718,322,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Moussa,0.0,711,319,0,0,0,0.0,718,322,34,False,0.0,718,322,0,Permanent transfer to Al Ittihad,2024-07-26T08:50:40.300928Z,65,42,23,0,0,None,0,,243557.jpg,0.0,718,322,0,None,False,0,0,Diaby,0.0,627,266,False,None,0,0,u,2,7,None,0.0,718,322,0,0,0,3365,8,0.0,0.0,Diaby,0
